Label,Notation,Parent Notation,Sort Priority,Description
Congo,congo,sub-saharan-africa,215,
Congo (Democratic Republic),congo-democratic-republic,sub-saharan-africa,216,
Djibouti,djibouti,sub-saharan-africa,217,
Equatorial Guinea,equatorial-guinea,sub-saharan-africa,218,
Eritrea,eritrea,sub-saharan-africa,219,
Ethiopia,ethiopia,sub-saharan-africa,220,
Gabon,gabon,sub-saharan-africa,221,
Gambia,gambia,sub-saharan-africa,222,
Ghana,ghana,sub-saharan-africa,223,
Guinea,guinea,sub-saharan-africa,224,
Guinea-Bissau,guinea-bissau,sub-saharan-africa,225,
Ivory Coast,ivory-coast,sub-saharan-africa,226,
Kenya,kenya,sub-saharan-africa,227,
Lesotho,lesotho,sub-saharan-africa,228,
Liberia,liberia,sub-saharan-africa,229,
Madagascar,madagascar,sub-saharan-africa,230,
Malawi,malawi,sub-saharan-africa,231,
Mali,mali,sub-saharan-africa,232,
Mauritius,mauritius,sub-saharan-africa,233,
Mayotte,mayotte,sub-saharan-africa,234,
Mozambique,mozambique,sub-saharan-africa,235,
Namibia,namibia,sub-saharan-africa,236,
Niger,niger,sub-saharan-africa,237,
Nigeria,nigeria,sub-saharan-africa,238,
Reunion,reunion,sub-saharan-africa,239,
Rwanda,rwanda,sub-saharan-africa,240,
Sao Tome and Principe,sao-tome-and-principe,sub-saharan-africa,241,
Senegal,senegal,sub-saharan-africa,242,
Seychelles,seychelles,sub-saharan-africa,243,
Sierra Leone,sierra-leone,sub-saharan-africa,244,
Somalia,somalia,sub-saharan-africa,245,
South Africa,south-africa,sub-saharan-africa,246,
St Helena,st-helena,sub-saharan-africa,247,
Swaziland,swaziland,sub-saharan-africa,248,
Tanzania,tanzania,sub-saharan-africa,249,
Togo,togo,sub-saharan-africa,250,
Uganda,uganda,sub-saharan-africa,251,
Zambia,zambia,sub-saharan-africa,252,
Zimbabwe,zimbabwe,sub-saharan-africa,253,
Unknown,unknown,all,254,
